Year,President,Party,SOTU Type,Text,Disapproval_1,Neutral_1,Approval_1,Disapproval_2,Neutral_2,Approval_2
2006,George W. Bush,Republican,speech,POLI 176 SOTU Text,0,0,1,0,0,1
1972,Richard M. Nixon,Republican,speech,POLI 176 SOTU Text,0,0,1,0,0,1
,,,,,,,,,,
1913,Woodrow Wilson,Democratic,speech,POLI 176 SOTU Text,0,1,0,0,1,0
1950,Harry S Truman,Democratic,speech,POLI 176 SOTU Text,0,0,1,0,0,1
"Actually coding :,) ",,seed(54321),,,,,,,,
1978,Jimmy Carter,Democratic,written,POLI 176 SOTU Text,0,0,1,0,0,1
1925,Calvin Coolidge,Republican,written,POLI 176 SOTU Text,0,1,0,0,1,0
1957,Dwight D. Eisenhower,Republican,speech,POLI 176 SOTU Text,0,1,0,0,1,0
1960,Dwight D. Eisenhower,Republican,speech,POLI 176 SOTU Text,0,1,0,0,1,0
2001,George W. Bush,Republican,speech,POLI 176 SOTU Text,0,0,1,0,0,1
1970,Richard M. Nixon,Republican,speech,POLI 176 SOTU Text,0,1,0,0,1,0
1939,Franklin D. Roosevelt,Democratic,speech,POLI 176 SOTU Text,0,0,1,0,0,1
1909,William Howard Taft,Republican,written,POLI 176 SOTU Text,0,0,1,0,0,1
2007,George W. Bush,Republican,speech,POLI 176 SOTU Text,1,0,0,1,0,0
1938,Franklin D. Roosevelt,Democratic,speech,POLI 176 SOTU Text,0,1,0,0,1,0
1917,Woodrow Wilson,Democratic,speech,POLI 176 SOTU Text,0,1,0,0,1,0
1924,Calvin Coolidge,Republican,written,POLI 176 SOTU Text,0,1,0,0,1,0
2005,George W. Bush,Republican,speech,POLI 176 SOTU Text,1,0,0,0,0,1
2008,George W. Bush,Republican,speech,POLI 176 SOTU Text,1,0,0,1,0,0
1990,George Bush,Republican,speech,POLI 176 SOTU Text,0,1,0,0,0,1
1969,Lyndon B. Johnson,Democratic,written,POLI 176 SOTU Text,0,0,1,0,0,1
1950,Harry S Truman,Democratic,speech,POLI 176 SOTU Text,0,0,1,0,0,1
1927,Calvin Coolidge,Republican,written,POLI 176 SOTU Text,0,1,0,0,1,0
1926,Calvin Coolidge,Republican,written,POLI 176 SOTU Text,0,1,0,0,1,0
1934,Franklin D. Roosevelt,Democratic,speech,POLI 176 SOTU Text,0,1,0,0,1,0
1905,Theodore Roosevelt,Republican,written,POLI 176 SOTU Text,0,1,0,0,1,0
1908,Theodore Roosevelt,Republican,written,POLI 176 SOTU Text,0,1,0,0,0,1
2003,George W. Bush,Republican,speech,POLI 176 SOTU Text,1,0,0,1,0,0
1979,Jimmy Carter,Democratic,written,POLI 176 SOTU Text,0,0,1,0,0,1
1963,John F. Kennedy,Democratic,speech,POLI 176 SOTU Text,0,1,0,0,1,0
2000,William J. Clinton,Democratic,speech,POLI 176 SOTU Text,0,0,1,0,0,1
1953,Harry S Truman,Democratic,written,POLI 176 SOTU Text,0,1,0,0,1,0
1952,Harry S Truman,Democratic,speech,POLI 176 SOTU Text,0,0,1,0,0,1
2013,Barack Obama,Democratic,speech,POLI 176 SOTU Text,0,1,0,0,0,1
1987,Ronald Reagan,Republican,speech,POLI 176 SOTU Text (continued :(),0,1,0,0,1,0
1931,Herbert Hoover,Republican,written,POLI 176 SOTU Text (continued :(),0,1,0,0,0,1
2012,Barack Obama,Democratic,speech,POLI 176 SOTU Text (continued :(),0,1,0,0,1,0
1954,Dwight D. Eisenhower,Republican,speech,POLI 176 SOTU Text (continued :(),1,0,0,1,0,0
1975,Gerald R. Ford,Republican,speech,POLI 176 SOTU Text (continued :(),0,1,0,0,1,0
1979,Jimmy Carter,Democratic,speech,POLI 176 SOTU Text (continued :(),0,0,1,0,0,1
1991,George Bush,Republican,speech,POLI 176 SOTU Text (continued :(),0,1,0,0,1,0
2011,Barack Obama,Democratic,speech,POLI 176 SOTU Text (continued :(),0,1,0,0,0,1
1945,Franklin D. Roosevelt,Democratic,written,POLI 176 SOTU Text (continued :(),0,0,1,0,0,1
1961,John F. Kennedy,Democratic,written,POLI 176 SOTU Text (continued :(),0,0,1,0,0,1
1937,Franklin D. Roosevelt,Democratic,speech,POLI 176 SOTU Text (continued :(),0,1,0,0,1,0
1974,Richard M. Nixon,Republican,speech,POLI 176 SOTU Text (continued :(),1,0,0,1,0,0
1911,William Howard Taft,Republican,written,POLI 176 SOTU Text (continued :(),0,1,0,0,1,0
1921,Warren G. Harding,Republican,speech,POLI 176 SOTU Text (continued :(),0,1,0,0,1,0
1972,Richard M. Nixon,Republican,speech,POLI 176 SOTU Text (continued :(),0,1,0,0,1,0
2006,George W. Bush,Republican,speech,POLI 176 SOTU Text (continued :(),0,0,1,0,0,1
1986,Ronald Reagan,Republican,speech,POLI 176 SOTU Text (continued :(),0,1,0,0,1,0
1985,Ronald Reagan,Republican,speech,POLI 176 SOTU Text (continued :(),1,0,0,1,0,0
1998,William J. Clinton,Democratic,speech,POLI 176 SOTU Text (continued :(),0,0,1,0,0,1
1940,Franklin D. Roosevelt,Democratic,speech,POLI 176 SOTU Text (continued :(),0,1,0,0,1,0
1984,Ronald Reagan,Republican,speech,POLI 176 SOTU Text (continued :(),0,1,0,0,1,0
